Txn Hash,Method,Block Number,Value,Txn Fee
0xedc2322c05ea4c09a2fd9a3064f2eed2452ba9afe374db2c499ca486088cbda2,Execute,19305028,0.12 ETH,0.00646386
0x1081895cf7d6767418859f6e6094a51063b5ce6dec2fe3f9084d0ced65ff7b17,Approve,19305028,0 ETH,0.00167334
0xa2a53203aff9f54339acf21014c9250b4f4f3cdfdc0c9d65126985832a3dee83,Approve,19305028,0 ETH,0.00094219
0x84b1082b1b0e84ff6ee93c6885ee1a448fe367ba1fec935db75541360211f4a4,Execute,19305028,0.278882928 ETH,0.00514284
0x61033e8d2d1219383c7f48508106f9ff7935ac34157871ef17f1305657000484,Transfer,19305028,0 ETH,0.00167466
0xe8dbffa3548b75cee4af4c2022e7a03fc15742077b8608d1fcfbf62432c49def,Execute,19305028,0 ETH,0.00685064
0xa1fccc0ca9a29f29a526b2b9e6ce8f657973b64c306ca37e975919ecc9096cb4,Transfer,19305028,0.321880279 ETH,0.00074839
0xc04d891a797f4bbe474cad73fde1f246412904ffc7f5b26ce95eac6f7d228ed8,Transfer,19305028,4.15 ETH,0.00074839
0xb5f2963ff0551b11ad8f952cd3ab73cf5cd0fa4ebd46566de6fa6fd8a0e88bbf,Transfer,19305028,0.02 ETH,0.00074839
0x07d86201ff96acdf7f7289f669a29ecb42136cb373984c5b0b7a9402a0908344,Transfer,19305028,0.05 ETH,0.00074839
0x5e4de70c0a3d42ca58e0fe2444575b0b226ab12016c0e013fa9c30af75de1d9b,Transfer,19305028,0 ETH,0.0012274
0x38cef305137428417bf7fbc1c47e65997952e97f97e23164d75222efc6be37f2,Approve,19305028,0 ETH,0.00164673
0x693c13339cdb2fedebb12042a55ec281d35b0288eb8b5397cd353219337c192c,Execute,19305028,0.03 ETH,0.00603245
0x16e432b377c8bc9a65255d98a77b6461c80e345fc4521760c0ceb6cc93d81555,Set Approval For...,19305028,0 ETH,0.0016489
0x738a716475a28f14c390c836fd83b55fd6572da89c0ad264394757c3489ecd44,Execute,19305028,0.3 ETH,0.00465797
0xeda9977d0c9044ade47a23b8fe9084ccf528122b159b0d9ce7050da19b5eebb0,Execute,19305028,0 ETH,0.00752644
0x5f4463bce2de764ec0b7be4dada744bc8290f9f5d1480410d6d5be557ddd5c8c,Call,19305028,0.035 ETH,0.00869679
0x49e64a824e678f9aac62a82c68f27b5cb3b0439a5c6c54165d022d2ea03993dd,Execute,19305028,0.063282466 ETH,0.00555625
0x5b2efd6b41a507f996dd6929485c9e055aabb493bcff57bd72ca3fcca49557ea,Approve,19305028,0 ETH,0.00182296
0xa4b6cbc2e2526b54c1052357ccf8922e77ce79016607e8650842304827203634,Match Advanced O...,19305028,0 ETH,0.01006047
0x8d34b3e4778afcbe8c3ae4817493cc4ce20691fe98d967f29e0cff4335e7daaf,User Buy Token W...,19305028,0.3112 ETH,0.00081588
